12:15:58.928 [FXGL Launcher Thread     ] DEBUG FXGL                 - FXGL logger initialized
12:15:58.931 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<AudioPlayer>> initialized
12:15:58.932 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Asset cacheSize=35
12:15:58.932 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<AssetLoader>> initialized
12:15:58.933 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<EventBus>> initialized
12:15:58.935 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
12:15:58.950 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/core/notification.wav
12:15:58.966 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/select.wav
12:15:58.967 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/back.wav
12:15:58.968 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/sounds/menu/press.wav
12:15:58.970 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/fonts/Copperplate_Gothic_Light_Regular.ttf
12:15:59.092 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/fonts/lucida_console.ttf
12:15:59.105 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/css/fxgl_dark.css
12:15:59.106 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/icons/fxgl_icon.png
12:15:59.118 [FXGL Launcher Thread     ] DEBUG FXGLDisplay          - Using CSS: CSS(externalForm=jar:file:/C:/Users/lukel/Documents/Programming/CellularAutomata/More1DAutomata/lib/fxgl-0.3.4-uber.jar!/assets/ui/css/fxgl_dark.css)
12:15:59.119 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<Display>> initialized
12:15:59.121 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<Executor>> initialized
12:15:59.127 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<NotificationService>> initialized
12:15:59.128 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<Net>> initialized
12:15:59.143 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<Gameplay>> initialized
12:15:59.149 [FXGL Launcher Thread     ] DEBUG FXGLPooler           - Default pool size for objects = 128
12:15:59.149 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<Pooler>> initialized
12:15:59.150 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<ExceptionHandler>> initialized
12:15:59.150 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<UIFactory>> initialized
12:15:59.150 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<DialogFactory>> initialized
12:15:59.150 [FXGL Launcher Thread     ] DEBUG FXGL                 - Service <<SceneFactory>> initialized
12:15:59.150 [FXGL Launcher Thread     ] DEBUG FXGL                 - Loading FXGL system data
12:15:59.153 [FXGL Launcher Thread     ] DEBUG IOTask               - Executing task: readDataTask(system/fxgl.bundle)
12:15:59.155 [FXGL Launcher Thread     ] DEBUG FS                   - Reading from: system\fxgl.bundle
12:15:59.163 [FXGL Launcher Thread     ] DEBUG IOTask               - Task succeeded: readDataTask(system/fxgl.bundle)
12:15:59.163 [FXGL Launcher Thread     ] DEBUG Bundle               - Logging bundle: FXGL
12:15:59.164 [FXGL Launcher Thread     ] DEBUG Bundle               - FXGL.offline.timer.version.check=2017-07-11T23:54:35.862
12:15:59.164 [FXGL Launcher Thread     ] DEBUG GameApplication      - FXGL configuration complete
12:15:59.164 [FXGL Launcher Thread     ] INFO  GameApplication      - FXGL configuration took:  0.666 sec
12:15:59.164 [FXGL Launcher Thread     ] DEBUG GameApplication      - Logging game settings
Title: Elementary Cellular Automata
Version: 1.0
Width: 1000
Height: 1015
Fullscreen: false
Intro: false
Menus: false
Profiling: false
App Mode: DEVELOPER
Menu Style: FXGL_DEFAULT
Menu Key: ESCAPE
Services: []
12:15:59.175 [FXGL Launcher Thread     ] DEBUG GameApplication      - Configuring GameApplication
12:15:59.176 [FXGL Launcher Thread     ] DEBUG AppStateMachine      - Initializing application states
12:15:59.178 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
12:15:59.181 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
12:15:59.219 [FXGL Launcher Thread     ] DEBUG GameWorld            - Game world initialized
12:15:59.252 [FXGL Launcher Thread     ] DEBUG PhysicsWorld         - Physics world initialized: appHeight=1015, physics.ppm=50.0
12:15:59.260 [FXGL Launcher Thread     ] DEBUG FXGLAssetLoader      - Loading from disk: /assets/ui/cursors/fxgl_default.png
12:15:59.276 [FXGL Launcher Thread     ] DEBUG GameScene            - Game scene initialized: 1000x1015
12:15:59.293 [FXGL Launcher Thread     ] DEBUG Input                - Registered new binding: Pause - Esc
12:15:59.305 [FXGL Launcher Thread     ] INFO  GameApplication      - Game configuration took:  0.129 sec
12:15:59.312 [JavaFX Application Thread] DEBUG FXGLDisplay          - Target size: DoubleProperty [value: 1000.0] x DoubleProperty [value: 1015.0] @ 1.0
12:15:59.313 [JavaFX Application Thread] DEBUG FXGLDisplay          - New size:    1000.0 x 1015.0 @ DoubleProperty [value: 1.0]
12:15:59.313 [JavaFX Application Thread] DEBUG FXGLDisplay          - Opening primary stage
12:15:59.344 [JavaFX Application Thread] DEBUG FXGLDisplay          - Stage shown
12:15:59.344 [JavaFX Application Thread] DEBUG FXGLDisplay          - Root size: 1000.0x1015.0
12:15:59.345 [JavaFX Application Thread] DEBUG FXGLDisplay          - Scene size: 1000.0x1015.0
12:15:59.345 [JavaFX Application Thread] DEBUG FXGLDisplay          - Stage size: 1016.0x1054.0
12:15:59.363 [JavaFX Application Thread] DEBUG GameApplication      - Running preInit()
12:15:59.365 [JavaFX Application Thread] DEBUG Input                - Registered new binding: Screenshot - P
12:15:59.365 [JavaFX Application Thread] DEBUG Input                - Registered new binding: Dev Options - CTRL+0
12:15:59.365 [JavaFX Application Thread] DEBUG Input                - Registered new binding: RANDOM - R
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: 1 - 1
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: num1 - Numpad 1
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: 2 - 2
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: num2 - Numpad 2
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: 3 - 3
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: num3 - Numpad 3
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: 4 - 4
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: num4 - Numpad 4
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: 5 - 5
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: num5 - Numpad 5
12:15:59.366 [JavaFX Application Thread] DEBUG Input                - Registered new binding: 6 - 6
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: num6 - Numpad 6
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: 7 - 7
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: num7 - Numpad 7
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: 8 - 8
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: num8 - Numpad 8
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: 9 - 9
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: num9 - Numpad 9
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: 0 - 0
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: num0 - Numpad 0
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: ENTER - Enter
12:15:59.367 [JavaFX Application Thread] DEBUG Input                - Registered new binding: BACKSPACE - Backspace
12:15:59.405 [JavaFX Application Thread] DEBUG GameApplication      - Starting main loop
12:15:59.410 [JavaFX Application Thread] DEBUG StartupState         - STARTUP
12:15:59.410 [JavaFX Application Thread] DEBUG GameApplication      - Starting new game
12:15:59.411 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
12:15:59.411 [JavaFX Application Thread] DEBUG AppStateMachine      - StartupState -> LoadingState
12:15:59.568 [JavaFX Application Thread] DEBUG InitAppTask          - @SetEntityFactory: []
12:15:59.569 [JavaFX Application Thread] DEBUG InitAppTask          - @AddCollisionHandler: []
12:15:59.571 [FXGL Background Thread 1 ] DEBUG InitAppTask          - Clearing previous game
12:15:59.571 [FXGL Background Thread 1 ] DEBUG GameWorld            - Resetting game world
12:15:59.572 [FXGL Background Thread 1 ] DEBUG PhysicsWorld         - Resetting physics world
12:15:59.572 [FXGL Background Thread 1 ] DEBUG GameScene            - Resetting game scene
12:15:59.573 [FXGL Background Thread 1 ] DEBUG InitAppTask          - Initializing Assets
12:15:59.573 [FXGL Background Thread 1 ] DEBUG InitAppTask          - Initializing Game
12:15:59.605 [FXGL Background Thread 1 ] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:15:59.608 [FXGL Background Thread 1 ] DEBUG InitAppTask          - Initializing Physics
12:15:59.608 [FXGL Background Thread 1 ] DEBUG InitAppTask          - Initializing UI
12:15:59.608 [FXGL Background Thread 1 ] DEBUG InitAppTask          - Initialization Complete
12:15:59.608 [FXGL Background Thread 1 ] INFO  InitAppTask          - Game initialization took: 0.038 sec
12:15:59.644 [JavaFX Application Thread] DEBUG Input                - Clearing active input actions
12:15:59.644 [JavaFX Application Thread] DEBUG AppStateMachine      - LoadingState -> PlayState
12:16:02.981 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:02.983 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:02.984 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:02.984 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:06.593 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:06.959 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:06.959 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:06.959 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:11.234 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:12.792 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:12.792 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:12.792 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:17.543 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:18.613 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:18.614 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:18.614 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:22.525 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:24.054 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:24.054 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:24.054 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:29.769 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:31.954 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:31.954 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:31.954 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:34.153 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:34.953 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:34.953 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:34.953 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:37.487 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:38.388 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:38.388 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:38.388 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:43.196 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:44.378 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:44.378 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:44.378 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:46.825 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:46.825 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:46.825 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:46.826 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:49.785 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:50.667 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:50.667 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:50.668 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:53.975 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:54.877 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:54.877 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:54.877 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:16:57.969 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:16:59.297 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:16:59.297 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:16:59.297 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:17:02.846 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:17:03.302 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:17:03.302 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:17:03.302 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:17:06.595 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:17:06.596 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:17:06.596 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:17:06.596 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:17:07.045 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:17:07.061 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:17:07.061 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:17:07.061 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:17:10.380 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:17:11.537 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:17:11.537 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:17:11.537 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:17:14.430 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:17:15.810 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:17:15.810 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:17:15.810 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:17:19.092 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:17:19.092 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:17:19.092 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:17:19.093 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:17:19.625 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:17:19.660 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:17:19.660 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:17:19.660 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:17:22.946 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:17:22.948 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:17:22.949 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:17:22.949 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:17:26.327 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:17:26.579 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:17:26.580 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
12:17:26.580 [JavaFX Application Thread] DEBUG GameScene            - Creating render group for layer: BACKGROUND(1000)
12:17:29.387 [JavaFX Application Thread] DEBUG GameWorld            - Resetting game world
12:17:30.116 [JavaFX Application Thread] DEBUG PhysicsWorld         - Resetting physics world
12:17:30.116 [JavaFX Application Thread] DEBUG GameScene            - Resetting game scene
